Breed	 AverageDailyGain	 Backfat	 MuscleThikness	 FrontLegs	 BackLegs
Landrace	 0.82	 11.2	 60.1	 3	 3
Landrace	 1	 19.5	 73.3	 3	 3
Landrace	 0.86	 11.2	 62	 3	 3
Landrace	 0.8	 13.9	 60.7	 3	 3
Landrace	 0.86	 16.2	 61	 3	 3
Landrace	 0.85	 18.5	 54.8	 3	 3
Landrace	 0.9	 19.5	 62.7	 3	 4
Landrace	 0.9	 12.9	 61.4	 3	 3
Landrace	 0.9	 16.5	 66	 3	 3
Landrace	 0.94	 15.5	 67.6	 3	 3
Landrace	 0.94	 15.2	 66	 3	 3
Landrace	 1.03	 17.2	 66.3	 3	 3
Landrace	 0.89	 14.2	 69	 3	 3
Landrace	 0.95	 17.2	 64	 4	 4
Landrace	 0.8	 12.9	 64.3	 4	 3
Landrace	 0.77	 14.9	 58.1	 3	 3
Landrace	 0.81	 13.5	 59.4	 3	 3
Landrace	 0.74	 10.6	 60.1	 3	 3
Landrace	 0.79	 15.8	 69.3	 3	 3
Landrace	 0.7	 8.3	 64.7	 3	 4
Landrace	 0.74	 10.2	 56.4	 3	 3
Landrace	 0.65	 11.2	 54.4	 3	 2
Landrace	 0.75	 9.2	 60.1	 3	 3
Landrace	 0.67	 15.8	 53.1	 3	 3
Landrace	 0.79	 18.2	 65	 3	 4
Landrace	 0.75	 12.9	 60.7	 3	 4
Landrace	 0.77	 9.2	 55.8	 3	 3
Landrace	 0.75	 15.2	 57.1	 4	 4
Landrace	 0.74	 16.8	 59.1	 3	 3
Landrace	 0.69	 10.2	 59.1	 3	 3
Landrace	 0.69	 13.5	 65.3	 3	 4
Landrace	 0.82	 18.5	 59.1	 3	 4
Landrace	 0.83	 15.2	 54.8	 4	 3
Landrace	 0.73	 17.8	 63	 3	 4
Landrace	 0.87	 11.2	 74.2	 4	 3
Landrace	 0.74	 13.5	 56.4	 3	 3
Landrace	 0.74	 10.2	 55.1	 3	 3
Landrace	 0.87	 16.5	 63	 3	 3
Landrace	 0.82	 15.8	 59.7	 3	 3
Landrace	 0.89	 14.2	 58.4	 3	 3
Landrace	 0.91	 18.8	 69.6	 3	 3
Landrace	 0.97	 16.2	 62.4	 3	 4
Landrace	 0.95	 14.9	 64.7	 4	 3
Landrace	 0.95	 14.2	 61.4	 3	 3
Landrace	 0.91	 12.9	 68	 3	 4
Landrace	 0.75	 14.9	 65	 3	 4
Landrace	 0.75	 13.2	 58.1	 3	 4
Landrace	 0.87	 19.8	 66	 3	 3
Landrace	 0.68	 9.6	 48.8	 3	 4
Landrace	 0.69	 11.2	 56.1	 3	 4
Landrace	 0.81	 14.9	 54.1	 3	 4
Landrace	 0.69	 10.9	 52.8	 3	 4
Landrace	 0.9	 12.5	 71.3	 3	 3
Landrace	 0.84	 18.5	 56.1	 3	 3
Landrace	 0.82	 15.8	 55.1	 3	 3
Landrace	 0.76	 14.5	 58.1	 3	 3
Landrace	 0.79	 14.5	 55.8	 4	 4
Landrace	 1	 24.8	 59.7	 3	 3
Landrace	 0.75	 20.5	 63	 4	 4
Landrace	 0.83	 15.5	 59.7	 2	 4
Landrace	 0.7	 12.5	 61.7	 4	 4
Landrace	 0.72	 14.2	 57.4	 4	 4
Landrace	 0.7	 10.6	 55.1	 3	 3
Landrace	 0.56	 12.2	 64.7	 3	 3
Landrace	 0.72	 16.2	 59.4	 4	 4
Landrace	 0.64	 18.2	 57.4	 4	 4
Landrace	 0.78	 16.8	 60.7	 4	 3
Landrace	 0.61	 10.6	 51.8	 3	 3
Landrace	 0.71	 14.2	 59.4	 4	 4
Landrace	 0.79	 12.5	 54.4	 4	 4
Landrace	 0.71	 12.9	 57.4	 2	 2
Landrace	 0.84	 20.5	 55.1	 3	 4
Landrace	 0.92	 24.4	 58.4	 4	 3
